,tweet,label
14,"🎶 Fun video grammar chants 🎶
They are a great way for young learners to learn grammar and to practise the stress and rhythms of spoken English.
👉 The videos, online activities and downloadable worksheets are here: https://t.co/QQX7pUWGpu https://t.co/Je1JzcSMTL",1
15,".@Lowes cannot believe the treatment from your Aurora CO. Almost a year of poor experiences with a simple window installation - incorrect order, damaged materials, failure to order replacements, no communication, rude and unhelpful GM, mixed messages. Can you help us?",1
16,"Researchers Find Way to Clean, Re-Use N95 Masks ⁦@realDonaldTrump⁩ ⁦@TexanIndiana⁩  https://t.co/zCdFCjsHKb",1
17,"#Breaking
#California will allow schools, day camps, bars, gyms and professional sports with modifications to begin reopening starting next Friday.",1
18,COVID-19 treatment: New findings may bring researchers a step closer https://t.co/pSBbgVYv2U via @healthline,1
19,"We are a motorbike-use delivery services company based in Nairobi. Call or Whatssap us on 0728867082 or 0796617988 to pick and drop your packages.

#lastmiledelivery #courier #logistics #delivery #transportation #deliveryservice #distribution #motorbike #bodaboda https://t.co/jwmQKuDETm",1
20,"It's #OlderAmericansMonth!

FOX rehabilitates lives and helps older adults be stronger and live better longer. Our clinicians provide clinically excellent care to older adults in their homes. We believe in the strength of people, and the astonishing spirit of our patients. https://t.co/0V0IiJEIgx",1
21,COVID-19 Vaccine Candidate Shows Promise in First Peer-Reviewed Research | Pittwire | University of Pittsburgh https://t.co/uEHZaKO9DK,1
22,AAO Urges Ophthalmologists to Provide Emergency Care Only https://t.co/BsktFYQUJw,1
23,If you are NOT sick: You do not need to wear a facemask unless you are caring for someone who is sick (and they are not able to wear a facemask). Facemasks may be in short supply and they should be saved for caregivers. @CDCgov recommends!,1
24,COVID-19 Patient in Primary Care — How to Treat? https://t.co/gZl33HNV6h,1
25,"COVID-19 Daily: Encephalitis Case Report, Silent Spreaders https://t.co/KhlKwI7d5e via @medscape",1
26,"Okay and how much would it cost if they had to hire one or two delivery people and get them some more of transportation to deliver these orders?

Food delivery is rarely profitable (unless you’re grub hub and it’s your whole thing) https://t.co/dXh2JWPziZ",1
27,"@therealXhiroX @CoopinTN @quirkymind @JohnCooper4Nash @FOXNashville I’ve seen the back of the box and it’s very easily misunderstood. 
The back of the box states that it doesn’t prevent YOU from getting sick, but it significantly decreases the chances of you spreading it to other people.",1
28,"COVID-19 Daily: ER Docs Procure PPE, Earlier Pandemic Start https://t.co/cAOuhlhwIZ",1
29,"'Scientists mull vaccine as nasal spray; Oxford jab by October, Coronavirus (Covid-19) Vaccine Latest Update: Oxford University, China's Sinopharm starts phase-3 trials of Covid-19 vaccine; Imperial College London begins human tests' https://t.co/fMWyOuqk9U",1
30,TOMORROW: Free food giveaway and testing for COVID-19 - https://t.co/1PAJ7I5G1e,1
31,Communication Materials https://t.co/QbuAx0RJJX #FauciHero https://t.co/f0XEVxpV1Y,1
32,"Taiwan International Healthcare Training Center (TIHTC)  2020 Clinical Training Program is now enrolling!  For medical professionals around the world who'd like to continue their clinical training, please visit: https://t.co/vAPTaDdbZ2 #TaiwanCanHelp. #TaiwanIsHelping.",1
33,COVID-19: Could Hydroxychloroquine Really Be the Answer? https://t.co/HPIzjBtGRd from @WebMD,1
34,Antibody testing for first responders to launch Monday at Westchester County Center https://t.co/OaX2Z3lcyb via @lohud,1
35,"Top 5 #Covid-19 Myth busters according to World Health Organization (@who )

1. Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19)

2. The new coronavirus CANNOT be transmitted through mosquito bites... https://t.co/smzaL9zgAk",1
36,"@SHchills @Digibrah ""the lord of the rings behind the scenes appendices are 90% of my dna""",1
37,"The Other Side of COVID-19: Milder Cases, Healthy Recovery  https://t.co/INjqFWwR5w",1
38,"@JakeMoo22377928 I don’t have it anymore, but that is what they believed triggered this condition. I have a negative test result for current Covid19 infection so we are at least certain it isn’t currently in my system.",1
39,Coronavirus Outbreak LIVE Updates: Agra reports 496 cases after 17 more test positive today; https://t.co/StOmLkayWp #livenewsindia,1
40,Risk Factors for Death From COVID-19 Identified https://t.co/bmKsos9XUo,1
41,Coronavirus (Covid-19) Vaccine Latest Update: Cansino Biologics claims success in human trials; Indian vaccine unlikely in a year,1
42,New coronavirus stable for hours on surfaces https://t.co/KBjd1m7Ab9,1
43,@RosinaPhoto is that test for antibodies or current infection?,1
44,"Interim Guidance for Mass Transit Administrators

Phase 3: Encourage social distancing as much as possible...

https://t.co/tVvPB7XInT",1
45,"@pAndrewPower @Susan_Hennessey If our schools do not open in the fall it will be a catastrophe for children and their families, especially the poor who do not have a parent at home to help, or a large home in which kids can learn effectively.",1
46,COVID-19: How to Recognize and Manage Kawasaki-like Syndrome https://t.co/nqGeyS5P3c,1
47,Next submission date for GPCP Portfolio accreditation is 31st August 2020. Notify NES GPCP team of intention to submit by Friday 3rd July 2020. Guidance for submission available at https://t.co/4FA02zyVrA,1
48,"Flu vs. coronavirus: How to tell the difference
https://t.co/lJECOOnI1x",1
49,"World Tuberculosis Day 2020: वक्त रहते पहचानें टी.बी के लक्षण, जानें बचाव के उपाय - https://t.co/810RvPgsOT https://t.co/G4pOCTqdbT via @BansalNewsbpl",1
50,"CDC: COVID-19 Can Spread 13 Feet, Travel on Shoes https://t.co/eo1f83SH3U from @WebMD #CoronavirusPandemic 
#COVID19 #doingmipart #coronavirusmichigan",1
51,Are vital home health workers now a safety threat? https://t.co/5tW3LcBXI0,1
52,@lcarb4all @EBryceLee @Freedom52963535 @FatEmperor And they have almost the same numbers.  What is your point?    Mine is that a) Michigan has a much larger percentage of African Americans (23% vs. 6%) (ask @FatEmperor about skin pigmentation &amp; Vitamin D serology levels) and b) The infection is ending in Michigan.  Not in Sweden. https://t.co/eTPLVkOlC1,1
53,"The outbreak of coronavirus disease 2019 (COVID-19) may be stressful for people. Fear and anxiety about a disease can be overwhelming and cause strong emotions in adults and children. Coping with stress will make you, the people you care about, and your community stronger. https://t.co/dHofuuduwT",1
54,"هل يساعد تناول الثوم في الوقاية من العدوى بفيروس كورونا المستجد؟
Can eating garlic help prevent infection with the new coronavirus?
#الوقاية_خير_من_العلاج
#وعينا_عن_كورونا
#منظمة_الصحة_العالمية
#عش_بصحة
#COVIDー19 https://t.co/pJVMn2vish",1
55,Saliva COVID Test Alternative to Deep Nasal Swab https://t.co/Fkk1YqQdzh,1
56,"Coordinated strategy to accelerate multiple COVID-19 vaccine candidates is key, NIH experts say https://t.co/AB8pwWp34w",1
57,"COVID-19 Daily: Vent Debate Continues, Screening for Taste/Smell https://t.co/jwlHtMcIBv",1
58,So how does all this testing they're talking about work? Here's an explainer on the molecular PCR tests (which test for current infection) from a few weeks ago:  https://t.co/jiJFyto185 via @MinnPost,1
59,New coronavirus stable for hours on surfaces https://t.co/rag9a8tsmL,1
60,"Happiness helps a child's brain develop.
Researchers have discovered that a child who had a nurturing, caring, and happy childhood can develop a larger hippocampus, the region of the brain that deals with memory, learning, as well as coping with stress.

#kidpaz https://t.co/XSNsdn6aud",1
61,"9/
What is the approach to exposed pregnant individuals?

1. Serology testing +/- blood PCR
2. Acute infection: no congenital anomalies, but risk of fetal loss; Rx with intrauterine blood transfusion 
3. Periodic ultrasound to check for hydrops (edema, ascites, cardiomegaly)",1
62,"Can pets at home spread the new #coronavirus (2019-nCoV)?

At present, there is no evidence that companion animals /pets, such as dogs or cats can be infected with the new #coronavirus

#Disease #WuhanVirus #COVID19
#QuikTake qt-covid19-019 by #BorderObserver https://t.co/Mgnh04vBlH",1
63,Coronavirus and Travel in the United States | CDC - https://t.co/Pa2pCyAS4o via @CDCgov,1
64,"@WCCO @GovTimWalz Willful ignorance has reached epidemic proportions as well.  If these idiots only infected themselves, I can't say I'd feel the least bit sorry for 'em. But they resist infecting the whole community &amp; completely undoing the good that HAS been achieved thru mitigation efforts.",1
65,What to Do If You Are Sick | CDC de https://t.co/YOmNRivy1T,1
66,COVID-19 Shows Gaps in Controls at Nursing Homes https://t.co/dCrwgeyXV4 from @WebMD,1
67,"50 NYC Education Employees, Including At Least 21 School Teachers, Have Died of COVID-19 https://t.co/6UOhVcWpPX via @democracynow",1
68,NIH clinical trial of investigational vaccine for COVID-19 begins https://t.co/yX4vbbMw16,1
69,Homelessness and COVID-19 FAQs https://t.co/PGZ85yQNn5 https://t.co/5aXgglJFRn,1
70,NIH clinical trial shows Remdesivir accelerates recovery from advanced COVID-19 | National Institutes of Health (NIH) https://t.co/vyzAc3Lvo7,1
71,What is Herd Immunity and Could it Work with COVID-19? https://t.co/W2ML6SvlET https://t.co/MrWcA78Lu9,1
72,@followlasg @jidesanwoolu @LSMOH I beg go after the contacts that are linked to the confirmed Corona virus patients and test or isolate them before random tests. The contacts already outweigh the laboratory test capacity.,1
73,"After Battling Flint Water Crisis, Doc Faces COVID Fight https://t.co/KigHRpwKGC",1
74,"Coronavirus Outbreak LIVE Updates: 414 new COVID-19 cases, 20 deaths reported in Mumbai today, total https://t.co/s810kjLGnY #livenewsindia",1
75,"As @WhiteHouse and entire Administration work to ensure States like #Georgia have the supplies and resources they need to beat the #coronavirus, Federal-State partnerships to protect against fraud, abuse and price gouging are critical. Thank you for your leadership @Georgia_AG. https://t.co/ACfkLGjg6k",1
76,@SadBoy_Stepho Why would you want to wear RP wide receiver gloves when you can wear JOKER or VENOM wide receiver gloves?,1
77,"Guidance for Pharmacists and Pharmacy Technicians in Community Pharmacies during the COVID-19… https://t.co/vp8Ng8i3Ck https://t.co/BR26aQjaHW

Pharmahub_NG",1
78,"@Alex92253122 @molassennaise @ThePenguinsBack @AOC you don't have to have a completely socialist system, technically programs like food stamps, public schools, law enforcement, first responders, social security and disability are all forms of socialism",1
79,Here is the direct link to the CDC guidelines to help you protect yourself when using transportation options. https://t.co/pk0NPd0yTZ,1
80,@NS_Provo What resources have you been using?,1
81,"@goldengateblond Mr. President, you can't blow up the moon!
Why? Do we need it?",1
82,We need to pay attention to this... #MentallyHealthy  #SelfCare  #BeAware  COVID-19: Mental illness the ‘inevitable’ next pandemic? https://t.co/pLG33JXQTb,1
83,"❓ Ací vos deixem les respostes a les preguntes més freqüents sobre el val-beca menjador 🍲🍲  
---- 
❓ Aquí os dejamos las respuestas a las preguntas más frecuentes sobre el vale-beca comedor 🍲🍲  
(1) https://t.co/mR5agHA7tG",1
84,Nanotech May Help Fight 'Cytokine Storm' of COVID https://t.co/zmLMPYKFMW https://t.co/0ULzcYO80N,1
85,"Top story: Get Your Mass Gatherings or Large Community Events Ready  | CDC https://t.co/v1XGxJO31U, see more https://t.co/UfRfpvdcBP",1
86,I question if our long term care facilities aren't suffering more from #COVID19 than our hospitals are. This healthcare entity is long overdue for stronger support and resources to improve staffing and quality of care. Our elders deserve better and so do those caring for them!,1
87,"@SenBobCasey @SenToomey  Families need childcare to work, but childcare programs are struggling financially with lowered enrollment while operating within recommended -and expensive- CDC guidelines.  #FundChildcare #FirstUp #ECE #ChildcareIsEssential",1
88,Digestive Symptoms Tied to Worse COVID-19 Outcomes https://t.co/NX16QlhgTS vía @medscape,1
89,Coronavirus News: What's Happening with the COVID-19 2020 Outbreak https://t.co/EdXipFycWf from @WebMD,1
90,First UN solidarity flight departs Addis Ababa carrying vital #COVID-19 medical supplies to all African nations https://t.co/UnbiDPMUof @WHO,1
91,"Time is running out to complete your 2020 Census form. The information you provide is only used to create statistics to determine equitable distribution of public funds for schools, housing, health care, roads and public safety. https://t.co/C674kc71IH https://t.co/BmQjzYISji",1
92,Mathematical modeling of the COVID-19 prevalence in Saudi Arabia  https://t.co/rMjaKBDZmb #medRxiv,1
93,Portable AI Device Turns Coughing Sounds into Health Data for Flu and Pandemic Forecasting #MachineLearning #AITopics #artificialintelligence https://t.co/KSAO0ZfNAv,1
94,Another Wonderful video from the scintillating @abbyhoward18 Helping to teach us about all things LGBTQIA2+ And that includes me I need and want to learn too.  WHAT DOES BEING TRANSGENDER MEAN? - LGBTQIA2+ https://t.co/YwWCIcG2EV via @YouTube,1
95,"In case you missed it:
WHO welcomes crucial new funding for vaccines
The new pledges will enable Gavi to protect the next generation and reduce disease inequality by reaching an additional 300 million children with vaccines by 2025 https://t.co/rUtTXaPgoB",1
96,"DevOps Training Course Online 
Join us
20% Off
Call us : 732-287-0133 / 732-387-5334
#1 #quarantine #joinnow #ittraining #nj #usa #onlineclasses #friday #datascience #machinelearningtraining #datavisualization #stayhome #student
#rprogramming #devops https://t.co/GfZSZzZVaM",1
97,"Cold weather and snow CANNOT kill the new coronavirus.

We are here to spread the right information, please do not panic with the misinformation spread online. Only believe facts which are shared by your government health bodies or the WHO.

#Coronavirus #Covid19 https://t.co/uf4eQLicPn",1
98,"Something you may be wondering about:
Coronavirus: Is It Safe to Get Deliveries? https://t.co/jFeorKnLMf from @WebMD",1
99,"From #ACPJournalClub: In older adults with subclinical hypothyroidism, levothyroxine did not improve symptoms. https://t.co/SLVglFNZaS. @McMasterU @ACPinternists https://t.co/5NP78wUIHW",1
100,Welcome to Atlanta.. where the governor's mansion is 6.6 miles away from the CDC but we know more than the he does about COVID-19,1
101,"COVID-19 Fallout: Tons of Trash
https://t.co/juHraVI4Nr",1
102,Face Masks as a Fashion Accessory? Why We Should Encourage This Trend https://t.co/VGt7RAKifD,1
103,"The U.S. Now Leads the World in Confirmed Coronavirus Cases
At least 81,321 people are known to have been infected with the coronavirus, including more than 1,000 deaths — more cases than China, Italy or any other country has seen, https://t.co/jtQbHNVxfo
#SaturdayMorning https://t.co/Cu7P3rvRic",1
104,"The Association of American Physicians and Surgeons filed a lawsuit against Department of Health and Human Services and the FDA for “irrational interference” by the FDA with timely access to hydroxychloroquine.

https://t.co/sPOVOQm1XI",1
105,"Q: How should I wash fruit and vegetables in the time of #COVID19? 
 
#coronavirus #knowthefacts https://t.co/JulBV7YDS6",1
106,"Evaluation of the Effectiveness of Surveillance and Containment Measures for the First 100 Patients with COVID-19 in Singapore — January 2–February 29, 2020
https://t.co/LiBNzTeqXP",1
107,"Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19)

You can catch COVID-19, no matter how sunny or hot the weather is. Countries with hot… https://t.co/S9gJXxzsHN",1
108,COVID-19 Can Trigger Serious Heart Injuries https://t.co/1KPmcR4imX from @WebMD,1
109,"Here’s a song for you… A Sort Of Homecoming - Remastered 2009 by U2
https://t.co/VCW05RV8c0",1
110,@projectcamelot “an alien organism created in a laboratory by aliens to wreak havoc on a planet not their own is the work of interlopers and is much easier to eradicate at the delivery stage rather than preventing or even curing an ongoing infection.”,1
111,"https://t.co/yszDFVzYbw via @mediaite 
Face masks critical in preventing spread of COVID-19
Study found that wearing a face mask stopped person-to-person spread of the virus
https://t.co/oNZIk1FSCJ",1
112,@izs some of us queer folks are building *community* to support each other as we age because we don't want to/can't have children and mutual support is better than planning on some idea of blood-relatives to depend on,1
113,Mutations in #SARS-CoV-2 offer insights into virus evolution https://t.co/OfrdhbsMml via @physorg_com,1
114,"There are multiple state and federal resources available for individuals, businesses and
communities. Visit https://t.co/UICRJQZ0kk for more information about the resources available. 

#COVID19 
#reemploymentassistance",1
115,"The latest COVID19 case information for Indiana 
Total positive cases: 16,588
Total deaths: 901
Tests reported to ISDH: 87,181

Tippecanoe County cases increased by 5 to 95

https://t.co/OZDgZP1JSi

Keep up to date with WASK here:  https://t.co/ZYSTPbeowL",1
116,#You Can't Get Coronavirus Through Sex: Study now trending on Monkey Viral - https://t.co/whuvttMK4k https://t.co/ffRAXaOk2O,1
117,"Are you running out of ideas for at-home activities for your children? Check out our free, educational activity book designed to help kids learn about coronavirus.

Download the English or Spanish version -&gt;https://t.co/UN4DNqOuUs. Then, print the sheets and start learning! https://t.co/A7OR5ytbaQ",1
118,Abortion Access Shifting in Some States Amid COVID-19 https://t.co/yV3OhbT4aK,1
119,Trending Clinical Topic: Cancer and COVID-19 https://t.co/Q7Jl1cLEGd,1
120,@katy_hippy @ayyTemptz @MartinR18215759 @sherrilee7 @TravelLover909 @SEDLAW15 If that’s all it does it just help limit how far it can travel then covering your mouth when you cough would provide the same exact effect which people should be doing regardless. But yes common sense would tell you to wash your cloth face mask daily after wearing one.,1
121,The theme of today’s quarantine is: Is it allergies or do I have COVID-19?,1
122,"(4) use of mainly local resources, such as hospital space, no additional health workers, commodity availability from the hospital’s own resources, and routine data systems; 

(5) health workers’ and community’s demand and perceived benefit;",1
123,"Join us on Thursday, July 9th 2020 4pm BST for a webinar on Mathematical Modeling of COVID-19, hosted by the Editorial Team of Journal of Mathematical Analysis and Applications and moderated by Patterns https://t.co/TRealWdMnn https://t.co/2JFUAA4g0K",1
124,@JoeBiden Joe Biden have no capacity to cover #COVID19 in time to be #laboratory,1
125,New study on COVID-19 estimates 5.1 days for incubation period: Median time from exposure to symptoms affirms earlier estimates and supports CDC's current 14-day quarantine period https://t.co/XTzM1RWU9H,1
126,2019-nCoV Communication Resources for Travelers | CDC https://t.co/UGBpLqv79m via @CDCgov,1
127,"This Sunday, June 28, is the last day to register for the third annual OC ATHENA International Middle and High School Leadership Camps. The camps will be held in a virtual format throughout July. Learn more and register at https://t.co/LdW7KJSIu3. #OCNation #OCWLI https://t.co/N0LRWtY3wF",1
128,"Confusion, seizure, strokes: How COVID-19 may affect the brain
Issam AHMED
https://t.co/iWULo2OMRW",1
129,COVID Survivor Blood Transfusion a Safe Treatment https://t.co/pRyBxFBChO,1
130,@faisalislam @Chiclanagirl We have decades of #TestTraceIsolate experience #Tories should have strengthening local services &amp; coordinated laboratory capacity alongside building field hospitals. Ill advised  #Lansley Reforms 2013 fragmented the #NHS &amp; Public Health.  Thus destroying our PH resilience.,1
131,@BenjaminPDixon Wtf is this and why do we need it? I would have preferred a rendition of We Are The World 😭,1
132,The other day I drove by a local nursing home and saw people standing apart &amp; a horse was there! Their attention was on a window of a resident.  I cried on my way home.  #humanity #faces #connection #love #mitigation #community #family #health #pandemic #safety #caring #people,1
133,"Just like in the ""Hunger Games"" movies, every household has a ""tribute"" amid the threat of the coronavirus disease 2019 (COVID-19).

May the odds be in your favor! https://t.co/JpOpttogTB",1
134,Survey Shows How Couples Cope During Lockdown https://t.co/0OFGAItSBx https://t.co/5BLogkBU4N,1
135,"Passive immunization may slow down SARS-CoV-2 and boost immunity in patients, buying time - SCIENMAG https://t.co/wrTsKRGSB2",1
136,"Researchers map SARS-CoV-2 infection in cells of nasal cavity, bronchia, lungs https://t.co/SA04I6EGQo via @medical_xpress",1
137,People would wear winter gloves to touch things when this pandemic first started... including my damn mama lmao,1
138,"From governortomwolf 

COVID-19 UPDATE: In Pennsylvania, masks must now be worn whenever anyone leaves home.

This is essential to stopping the recent increase in COVID-19 cases in Pennsylvania.

More about this… https://t.co/K6x0DMTeqE",1
139,"11. Speaking of which, I couldn’t do this without her. She is a working mother and has to do most of the care because she is breastfeeding. Women do not get enough credit for raising kids. It really highlights my shortcomings by what I physically cannot do.",1
140,10/ I am still learning but these 3 resources have simplified the learning process for me. I hope this thread helps anyone who is looking for a starting point to learn about managing finances or anyone who is struggling to make sense of the financial news in the papers.,1
141,"Worth a reminder: Hand-washing really is important to help prevent the spread of the #coronavirus, and here's exactly why, via UO microbiologist Michelle Sconce Massaquoi and @ConversationUS. https://t.co/L37DoQ2t87 https://t.co/9rBWsFpdQB",1
142,NIH Reports First Known Employee with COVID-19 Infection https://t.co/EutAKBm9Gk,1
143,"Protect yourself and others!
Have a close contact
with anyone, if you’re
experiencing cough
and fever
Touch your eyes,
nose and mouth Spit in public.

What is COVID-19?
COVID-19 is a disease caused by 
the “novel… https://t.co/IltvXBLBKM",1
144,"DUDAS SOBRE EL ERTE EN GLOBALIA

Queremos que estés informado acerca del ERTE presentado en Globalia.

En el siguiente documento en PDF compuesto por dos hojas, te damos respuestas a las preguntas más frecuentes sobre esta cuestión.

Más información: https://t.co/qaW9NwSQm7 https://t.co/zVWsc2HHU0",1
145,"your hobbies and personal affairs are not more important than the health and safety of others
you're just selfish",1
146,Topol: US Betrays Healthcare Workers in Coronavirus Disaster https://t.co/GbHqzK4z9K,1
147,@67sound Curious to know more about ONT? I know in BC testing is now available for anyone with any cold/flu symptoms.,1
148,"What is #COVID__19 and how does it spread? - explained in #Assamese in a beautiful #animation 
@mygovassam @CMOfficeAssam #IndiaFightsCorona https://t.co/EKedM6mu3Q",1
149,"• Protocols for sporting activities consistent with the CDC Considerations for Youth Sports for recess and physical education classes 
👇👇👇
(guidance for organized school sports will be published separately);",1
150,I’m so excited to finally announce that I am moving off of the sidelines of this pandemic onto the front lines because I am now working for LabCorp as a Lab Assistant preparing specimen for Covid-19 testing!,1
151,@NOIweala from @gavi advocates for vacciness to be treated as public goods and proposes financial mechanisms as ‘Advanced Market Commitments’ to promote innovation by guaranteeing future revenues while mobilising the resources needed. No one will be safe until everyone is safe. https://t.co/NzTw50AKZ8,1
152,"Skin Changes With COVID-19: What We Know and Don't Know
https://t.co/cQkjU1VFfH",1
153,"COVID-19 What people living with #HIV should know.
https://t.co/d5JiV2E29A",1
154,CMS Suspends Advance Payment Program to Clinicians for COVID-19 https://t.co/vcThvKRi7h via @medscape,1
155,COVID-19 in Racial and Ethnic Minority Groups https://t.co/ZLKjDK9567,1
156,"Coronavirus disease (COVID-19) is an infectious disease caused by a newly discovered coronavirus and most of the information which was circulated in social media had a dilemma whether it’s a fact or a myth.
#kingsmen #Bengaluru #COVID19 #SocialDistancing #WashYourHands https://t.co/Sjv08blzrh",1
157,bitches be like “i support veterans” and then think free healthcare for all is a wild and stupid concept.,1
158,"Starting today, we will host a webinar everyday at 2:00pm for workers and businesses impacted by COVID-19. It will cover unemployment insurance, health care options, &amp; other resources. Laid off workers &amp; employers encouraged to attend.  https://t.co/7tgD5O1fzR @mcgough_andrew",1
159,"The @CTNationalGuard has turned a vehicle designed to test for environmental chemical, biological, and radiological contamination into a mobile clinical laboratory to expand the @CTDPH ’s COVID-19 testing capacity. https://t.co/aPzqL8TvXJ #InThisTogether",1
160,Antibodies Tested as Possible COVID Treatment https://t.co/vIayX96FZq,1
161,NIH begins study to quantify undetected cases of coronavirus infection https://t.co/vqx0WzlHd8,1
162,NIH Clinical Trial Shows Remdesivir Accelerates Recovery from Advanced COVID-19 | NIH: National Institute of Allergy and Infectious Diseases https://t.co/y9b99RWhHN,1
163,Is Covid-19 airborne or not? There’s a lot of conclicting information out there 😑 #Covid_19,1
164,"@retired_rebel no, that’s how we put the work and blame on someone else. people in those positions HAVE come forward, I know quite a few, but reducing stigma is our own personal job, not one to point with a finger and say they need to do better at. do you talk to your doctor about cannabis?",1
165,How to Sanitize N95 Masks for Reuse: NIH Study https://t.co/ji9VA0ObEq from @WebMD,1
166,Hard Truths From Infectious Disease Specialists #CoVin19  https://t.co/IDSeb5LAf6,1
167,"@politico Really? How could this have happened? Didn't anyone tell COVID-19 that it's 'all over' and time to move on with improving the economy and getting #TRE45ON reelected? Such a silly virus, or is it such stupid people? Watch out for those masks, they'll probably kill you!",1
168,"Pediatric coronavirus disease (COVID-19) X-ray, CT in review of new lung disorders https://t.co/JFRpUu5MRy",1
169,"Guidance published for Community Pharmacy on dealing with patient returned unwanted medicines in England 

Jointly produced by @NPA1921, Pharmaceutical Services Negotiating Committee (PSNC), Community Pharmacy Patient Safety Group (CPPSG) &amp; @rpharms

 https://t.co/5hL8mPjuF4 https://t.co/OY7n0zwBWO",1
170,"Please manage stress levels. We offer simple techniques in deep breathing, muscle relaxation, &amp; guided imagery free everyday on our Instagram Page. 

Survey Finds Psychological Distress Among Adults Tripled During Pandemic https://t.co/duGa428Ewo @PsychCentral #MTOShahmaghsoudi",1
171,"@ncp_madhavnepal Wow, could you let me know what is COVID 19?? Lol",1
172,"Hey girl, do you have your mask?🔥

•Our masks supports the CDC Guidelines for the use of cloth face coverings to help slow the spread of COVID-19 
•Breathable lightweight fabric
•Side hole (Enabled by inserting… https://t.co/NBGLPHu0j5",1
173,"The COVID-19 crisis is here, but there are ways to navigate through it and get ready for the future. Join our webcast on Thursday, April 30, to hear our HR experts' insights on the way to efficiently rethink your planning: https://t.co/JOVelH1UXN",1
174,Coronavirus Disease 2019 (COVID-19) https://t.co/7pGBQUa5aE via @CDCgov,1
175,COVID-19 Mathematical Modeling https://t.co/GvaeQxJru4 https://t.co/2oyvtZEoYX,1
176,"Things you might not have paid attention to during this outbreak, so take a few minutes to learn this...

What is Covid-19?
It is a disease
What causes Covid-19?
Coronavirus 
What type of coronavirus?
SARS -CoV-2

One MCQ answered correctly 😊😊",1
177,Trials Test Survivors’ Blood as COVID-19 Treatment https://t.co/yAKfRty42P,1
178,"Public drinking water supplies are safe to drink, however the surfaces around the fountain including the spout and button/lever could pose a transmission risk for COVID-19 and other germs.
More details on @NSWHealth website &gt; https://t.co/rENi10UNAK https://t.co/N8EjZfeUjX",1
179,@PaulDeCristofo4 Absolutely right. The mind does that. It’s a self defence coping mechanism. That’s what autism is essentially. People tune out when stress levels are high and they can’t process it. Then their brain adapts and evolves to that mechanism till they stop speaking.,1
180,"Today's #weight management service training #webinar is in full swing!!

If you want to take advantage of this fully funded training for #healthcare professionals our next one is Tuesday morning

#obesity #weightloss 

Details here....
https://t.co/On55lyX2l7? https://t.co/L0Cy9hQgyy",1
181,"Man dies after taking chloroquine in attempt to prevent coronavirus:  Taking this drug was mentioned as a possible cure, NOT a preventative for the Covud-19.  Why doesn't the news media state the correct facts?",1
182,"Looking for clues! (Yes, he has a magnifying glass). 🥰 https://t.co/46W0WfJ1Rc",1
